density,architecture,repetition,rank,area_m2[m^2],absorbedPAR_umol_m2_s1,log_absorbedPAR_umol_m2_s1
High,architectureA,37,1,0.0036010015279393,19.861065604430166,1.2980025459573872
High,architectureA,93,1,0.0035956683334794,19.92236930975968,1.2993409865457837
High,architectureB,24,1,0.0035961833922691,26.41720952999672,1.4218869408436752
High,architectureB,39,1,0.0035936807547527,31.6954900442816,1.5009974707911353
High,architectureB,52,1,0.0035907804454877,23.845745109419408,1.3774108974074821
High,architectureC,49,1,0.0036077446088984,32.78703174908488,1.5157021012273626
High,architectureD,94,1,0.0035907221593284,23.63877318530988,1.3736249336019546
High,control,74,1,0.003590412928176,23.67738662036016,1.3743337656610757
High,control,91,1,0.0035921713887899,23.57305694694467,1.3724159053543386
High,architectureA,53,2,0.0063540712808865,15.089030864122478,1.1786613468743325
High,architectureA,78,2,0.0063545619358761,14.35267660933995,1.1569328995556745
High,architectureB,13,2,0.0063563979652694,17.940552391649224,1.253835810890447
High,architectureB,24,2,0.0063682725678023,21.35226553197181,1.3294439616015326
High,architectureB,39,2,0.0063458434304374,20.280497991637976,1.3070786149791014
High,architectureD,95,2,0.006358514881946,13.988093119194266,1.1457585147594276
High,control,26,2,0.0063440785238815,14.281345138132613,1.1547691149020414
High,control,93,2,0.0063478976484339,14.953725092078352,1.1747493923538042
High,architectureA,14,3,0.0070053479238904,19.743909175955405,1.295433144557761
High,architectureA,27,3,0.0070066653188959,21.635595633049643,1.3351688559288224
High,architectureA,37,3,0.0070154523520465,23.693088034105603,1.3746216681001875
High,architectureA,78,3,0.0070288175911066,22.977214778160384,1.3612973838046116
High,architectureA,93,3,0.0070058202060645,20.147582283456824,1.304222938122229
High,architectureB,2,3,0.0070168419313429,26.437255886280152,1.4222163745921785
High,architectureB,39,3,0.0070059722457326,27.41374040390029,1.4379682958805309
High,architectureB,52,3,0.0070153144024527,28.92789838265676,1.4613168832169732
High,architectureB,59,3,0.0070250939474125,28.337695563281983,1.4523645302853867
High,architectureB,80,3,0.0070208035752531,28.786481703819845,1.4591885884630795
High,architectureC,3,3,0.0070335444290735,38.06645085251591,1.580542387005566
High,architectureC,49,3,0.0070286549545614,31.78264939284506,1.5021900970480166
High,architectureC,82,3,0.0070350901435106,31.1699010115796,1.4937354230598678
High,architectureD,21,3,0.007028102129148,24.00558437758974,1.3803122826390095
High,architectureD,85,3,0.0070285793119419,22.227635817546105,1.3468932725957148
High,architectureD,90,3,0.0070164103756648,22.93111712390572,1.3604252125550587
High,architectureD,91,3,0.0070275552028637,19.56945000525258,1.2915786200861874
High,control,18,3,0.0069993759544555,30.466617329463563,1.4838242377244837
High,control,60,3,0.0070215576208752,26.088712236548293,1.4164526424438828
High,control,69,3,0.0070210347539079,23.864143530943466,1.3777458524269728
High,control,87,3,0.0070120978809792,23.88246372216044,1.3780791267181165
High,architectureA,37,4,0.0075737660499428,41.125032211743736,1.6141062511252544
High,architectureC,76,4,0.0075707632365531,50.60668590004031,1.704207897426318
High,architectureD,40,4,0.0075731580633715,43.15582883721094,1.6350394619486825
High,architectureD,72,4,0.0075447850843995,35.73590927699916,1.553104836918767
High,control,41,4,0.0075839513978948,51.89248921397576,1.7151045037256696
High,control,90,4,0.0075862172851991,44.72396668680846,1.6505403153120484
High,architectureB,21,5,0.0093667687189462,82.7941110521188,1.917999447551515
High,architectureB,39,5,0.0093672287198303,84.83983837898138,1.9285998325085576
High,architectureA,80,6,0.0071258735185703,55.74778933610519,1.7462276502284235
High,architectureB,24,6,0.0071311739625744,127.01982557932364,2.1038715120403624
High,architectureB,32,6,0.0071247291997556,35.210876286813985,1.5466768334141858
High,architectureB,50,7,0.0057086533914274,63.25868352168874,1.8011201495585956
High,architectureC,95,7,0.005710426801542,90.8614509098998,1.9583796675119793
High,architectureD,26,7,0.0057104683657184,79.76314571134566,1.9018022734146727
High,architectureD,50,7,0.0057165460100284,82.18733746906342,1.914804911324423
High,control,24,7,0.0057286786148938,51.49683099235445,1.7117805042862495
High,architectureA,39,8,0.0023626938750925,107.9707781248342,2.0333062312614687
High,architectureA,85,8,0.0023358512911004,95.55829250567848,1.9802683809063568
High,architectureB,62,8,0.0023024951496706,206.8659650247568,2.3156890435037027
High,architectureC,48,8,0.0022936161740156,81.37168428551406,1.910473305406138
High,architectureD,87,8,0.0023152210852675,105.37595761794437,2.022741534359245
High,architectureA,85,9,0.0005464920516425,99.53051696097248,1.9979562597984761
High,architectureC,45,9,0.000559174551074,91.7001509689946,1.962370050663994
High,architectureB,14,10,0.0004906193280079,217.6074793905076,2.337673818425967
High,architectureC,17,10,0.0004906193280079,139.8075579555369,2.145530649876475
High,architectureC,58,10,0.0004906193280079,152.8913702339652,2.184382972884271
High,architectureC,67,10,0.0004906193280079,149.7931628787268,2.1754919909882435
High,architectureC,90,10,0.0004906193280079,149.63475009700153,2.175032462665041
High,architectureD,1,10,0.0004906193280079,233.653894464172,2.368573024094355
High,architectureD,22,10,0.0004906193280079,236.7388463668645,2.3742695269554357
High,architectureD,50,10,0.0004906193280079,223.2946982666733,2.34887841164796
High,architectureD,53,10,0.0004906193280079,241.96908947877537,2.383759890252288
High,architectureD,85,10,0.0004906193280079,242.8225364998707,2.38528899139552
High,control,24,10,0.0004906193280079,190.25547055248728,2.2793371532039814
High,control,25,10,0.0004906193280079,192.3824257335201,2.2841653964151107
High,control,69,10,0.0004906193280079,192.4070570037817,2.2842209968161162
