density,architecture,repetition,absorbedPAR_umol_m2_s1,area_m2[m^2]
High,architectureA,1,872.7213484455748,0.0479756283830276
High,architectureA,2,919.3778331571143,0.0479281008849991
High,architectureA,3,875.3640338372225,0.047968270625095705
High,architectureA,4,842.0246789142922,0.0479752002698309
High,architectureA,5,860.9126435636144,0.0479633821781626
High,architectureA,6,909.5609951731642,0.047889151100027
High,architectureA,7,860.4080755579686,0.0478641405885553
High,architectureA,8,862.0676750812975,0.0479728522108359
High,architectureA,9,946.6089241186739,0.047984359658014904
High,architectureA,10,952.8116716020854,0.0478919680355501
High,architectureA,11,965.9313294907067,0.047948415311059096
High,architectureA,12,808.0668025363246,0.048007652516145805
High,architectureA,13,810.6701645074614,0.0479026075404772
High,architectureA,14,850.4075957857684,0.0479641408341914
High,architectureA,15,842.5795606113793,0.047938966672062495
High,architectureA,16,858.9066700218663,0.0479732110998095
High,architectureA,17,879.4870926657403,0.0478877907187778
High,architectureA,18,940.3004898222571,0.0479467785930316
High,architectureA,19,923.3719616742883,0.0479380128251444
High,architectureA,20,905.1472125978387,0.047934497237168805
High,architectureB,1,918.9780075739629,0.0479611460069414
High,architectureB,2,987.5423547067078,0.0479242719243809
High,architectureB,3,1046.511078798613,0.0479102826512842
High,architectureB,4,956.3266575452324,0.0479380984980956
High,architectureB,5,1054.4254701649998,0.0480337950057653
High,architectureB,6,1021.97062386518,0.0479853106829464
High,architectureB,7,990.9080922398994,0.0479207703667622
High,architectureB,8,928.37094891548,0.0479920917061748
High,architectureB,9,972.7351621496889,0.0479748467240388
High,architectureB,10,885.4197703951631,0.0478893934159733
High,architectureB,11,871.4446227460339,0.0479469336274303
High,architectureB,12,963.9148129990004,0.0479458894099136
High,architectureB,13,919.0258761942325,0.0478953784398691
High,architectureB,14,853.4589922544178,0.047985882913595096
High,architectureB,15,917.7516659504125,0.0479310522197267
High,architectureB,16,1006.8692794522354,0.0478782313678189
High,architectureB,17,775.9675960546193,0.0479367670947808
High,architectureB,18,1000.011715768872,0.047899112023280295
High,architectureB,19,953.0963429130145,0.047943618963141296
High,architectureB,20,908.4543255089516,0.0479870806888886
High,architectureC,1,786.5039499129548,0.047969201736863504
High,architectureC,2,858.1145908678831,0.0479446190447994
High,architectureC,3,770.2177349684939,0.047924071530527
High,architectureC,4,865.3082784579668,0.0479445005046164
High,architectureC,5,904.3647738962311,0.0479747551856971
High,architectureC,6,793.3460306346158,0.0479161364779339
High,architectureC,7,862.852130498869,0.0479301999963645
High,architectureC,8,834.1845066656699,0.0479203839231372
High,architectureC,9,778.2437439431342,0.0478849058066851
High,architectureC,10,806.0433787782991,0.0479650840888697
High,architectureC,11,896.6666322318697,0.0479115154897732
High,architectureC,12,811.3087825744049,0.047981527584201704
High,architectureC,13,754.8906094236587,0.0479590958680169
High,architectureC,14,755.6739657882849,0.048003901920283996
High,architectureC,15,827.3960713781338,0.0479287913142255
High,architectureC,16,918.7058845144749,0.047936983888738904
High,architectureC,17,860.2453347730436,0.047934738014822
High,architectureC,18,864.0245277720171,0.0479187141206505
High,architectureC,19,807.3422071292997,0.048032171290411
High,architectureC,20,868.5580492889329,0.0479760972244067
High,architectureD,1,995.4571475927463,0.0479353602708076
High,architectureD,2,980.9593094167872,0.0479732264511141
High,architectureD,3,914.6333960581762,0.0479755579320589
High,architectureD,4,1012.6478943018594,0.0479328424362031
High,architectureD,5,979.5307689674119,0.0479735523742173
High,architectureD,6,1032.9571770315222,0.0479082340652177
High,architectureD,7,925.0369487597452,0.0480126203925062
High,architectureD,8,995.8516476412503,0.0479265409762883
High,architectureD,9,803.9063338016151,0.0480119499820841
High,architectureD,10,1017.88014348773,0.0479013755003362
High,architectureD,11,927.4653536769544,0.0479300051475122
High,architectureD,12,981.9307951840938,0.0479621443151377
High,architectureD,13,952.0691633441509,0.0479873283511112
High,architectureD,14,1023.9545807308632,0.0479843786997639
High,architectureD,15,1034.7100979374643,0.0479780340021021
High,architectureD,16,981.2228157870621,0.0479319481326749
High,architectureD,17,1014.0887933515304,0.0478813460466236
High,architectureD,18,913.8888742564075,0.048004737604074296
High,architectureD,19,953.0849980267861,0.047891209806434
High,architectureD,20,1042.288279480214,0.0479686801020566
High,architectureE,1,892.851908035794,0.0479646564805096
High,architectureE,2,873.7606504951043,0.047922473296370297
High,architectureE,3,934.9003035990706,0.0479100917873506
High,architectureE,4,907.5187638392296,0.0479025841117607
High,architectureE,5,928.7980150966989,0.047936875214878
High,architectureE,6,810.1213965528859,0.0479637011641259
High,architectureE,7,917.4269686044114,0.0479612771400664
High,architectureE,8,874.1225460480734,0.0479819831882547
High,architectureE,9,920.1223513524063,0.047924539397986604
High,architectureE,10,902.5956314538471,0.0479402113160761
High,architectureE,11,986.4071123633316,0.0479357067959656
High,architectureE,12,925.8847919506802,0.0479654747660983
High,architectureE,13,933.9167980366803,0.0479267398439542
High,architectureE,14,904.0751070644983,0.0479600867548964
High,architectureE,15,900.4999530908027,0.0479050029747414
High,architectureE,16,922.5680242295986,0.0480116467466966
High,architectureE,17,912.5009225356029,0.0479927521018375
High,architectureE,18,889.6115267078517,0.047937853276597796
High,architectureE,19,912.3432038479361,0.0479302108449757
High,architectureE,20,878.1209485338095,0.0479652603269381
High,control,1,867.2650180165248,0.0479550676702418
High,control,2,897.1093793230701,0.0479570655324245
High,control,3,833.1907997921446,0.0479816273210671
High,control,4,877.3976559355716,0.0479564494993278
High,control,5,855.112764678509,0.0479285903384205
High,control,6,898.9114063879811,0.047822338687506696
High,control,7,994.3952098295786,0.0479653457773623
High,control,8,987.292875015357,0.047949747804821
High,control,9,965.2166704347746,0.0478770184086169
High,control,10,831.3310845667429,0.0479167795322553
High,control,11,905.3651321026324,0.0480120025209747
High,control,12,890.365660019488,0.047969519137427405
High,control,13,918.8800453060524,0.0479143597648935
High,control,14,925.8488858734155,0.0479105669205379
High,control,15,842.330827582647,0.0480109771335495
High,control,16,883.3343479567671,0.0480298817258997
High,control,17,877.6677472601041,0.0479678197994269
High,control,18,826.596019529181,0.0480012172141085
High,control,19,883.5913454385054,0.0478783619360398
High,control,20,819.4040909587252,0.0479705952123985
Low,architectureA,1,1075.59915628248,0.047812984221653795
Low,architectureA,2,1079.439606458718,0.0477237176866871
Low,architectureA,3,1066.772436547468,0.0477442230489086
Low,architectureA,4,1162.67581657451,0.0477534232830254
Low,architectureA,5,1118.0000266580387,0.0477204433415319
Low,architectureA,6,1086.5221839816213,0.0477328461369706
Low,architectureA,7,1196.4021315029347,0.047753599961930196
